ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
0679764275,The F Word,Jesse Sheidlower,1995,Random House Reference Publishing,http://images.amazon.com/images/P/0679764275.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679764275.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679764275.01.LZZZZZZZ.jpg
3423078200,Wir Werden Uns Wiederfinden: Die Vertreibung Einer Familie,Annelies Schwarz,0,Deutscher Taschenbuch Verlag (DTV),http://images.amazon.com/images/P/3423078200.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3423078200.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3423078200.01.LZZZZZZZ.jpg
0446607584,Playing God,Sarah Zettel,1999,Aspect,http://images.amazon.com/images/P/0446607584.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446607584.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446607584.01.LZZZZZZZ.jpg
0970316577,Black Umbrella Stories,Nicolette De Csipkay,2003,Starcherone Books,http://images.amazon.com/images/P/0970316577.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0970316577.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0970316577.01.LZZZZZZZ.jpg
0380798727,Season of Death: : An Inupiat Eskimo Mystery (Inupiat Eskimo Mysteries),Christopher Lane,1999,Avon,http://images.amazon.com/images/P/0380798727.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380798727.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380798727.01.LZZZZZZZ.jpg
0671571575,"Game Of Chance (Silhouette Romance, #157)",Donna Vitek,1982,Silhouette Books,http://images.amazon.com/images/P/0671571575.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671571575.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671571575.01.LZZZZZZZ.jpg
0385503830,The Summons (Limited Edition),JOHN GRISHAM,2002,Doubleday,http://images.amazon.com/images/P/0385503830.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385503830.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385503830.01.LZZZZZZZ.jpg
0373118902,Finn'S Twins! (From Here To Paternity) (From Here to Paternity),Ann McAllister,1997,Harlequin,http://images.amazon.com/images/P/0373118902.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373118902.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373118902.01.LZZZZZZZ.jpg
1551665743,Mackenzie'S Mountain,Linda Howard,2000,Mira,http://images.amazon.com/images/P/1551665743.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1551665743.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1551665743.01.LZZZZZZZ.jpg
0385070101,Adlai Stevenson of Illinois: The Life of Adlai E. Stevenson,"John Bartlow, Martin",1976,Book World Promotions,http://images.amazon.com/images/P/0385070101.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385070101.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385070101.01.LZZZZZZZ.jpg
0140076107,Birth over thirty,Sheila Kitzinger,1985,Penguin Books,http://images.amazon.com/images/P/0140076107.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140076107.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140076107.01.LZZZZZZZ.jpg
0451628454,"Other Voices, Other Vistas: Short Stories from Africa, China, India, Japan, and Latin America",Barbara H. Solomon,1996,Signet Book,http://images.amazon.com/images/P/0451628454.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451628454.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451628454.01.LZZZZZZZ.jpg
0851123295,Movie clips,Patrick Robertson,1989,Distributed by Sterling Pub. Co,http://images.amazon.com/images/P/0851123295.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0851123295.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0851123295.01.LZZZZZZZ.jpg
0380772906,Lord of Thunder (An Avon Romantic Treasure),Emma Merritt,1994,Harper Mass Market Paperbacks (Mm),http://images.amazon.com/images/P/0380772906.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380772906.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380772906.01.LZZZZZZZ.jpg
067964265X,Suttree (Modern Library),CORMAC MCCARTHY,2002,Modern Library,http://images.amazon.com/images/P/067964265X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067964265X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067964265X.01.LZZZZZZZ.jpg
0814479057,Getting Employees to Fall in Love With Your Company,Jim Harris,1996,American Management Association,http://images.amazon.com/images/P/0814479057.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0814479057.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0814479057.01.LZZZZZZZ.jpg
0758201028,Boyfriend Material,Jon Jeffrey,2002,Kensington Publishing Corporation,http://images.amazon.com/images/P/0758201028.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0758201028.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0758201028.01.LZZZZZZZ.jpg
080213338X,TRY,Dennis Cooper,1995,Grove Press,http://images.amazon.com/images/P/080213338X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080213338X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080213338X.01.LZZZZZZZ.jpg
0786927550,"Wind of Honor (Legend of the Five Rings: The Four Winds Saga, First Scroll)",Ree Soesbee,2002,Wizards of the Coast,http://images.amazon.com/images/P/0786927550.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786927550.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786927550.01.LZZZZZZZ.jpg
0062503952,The Dancing Healers : A Doctor's Journey of Healing with Native Americans,Carl A. Hammerschlag,1989,HarperSanFrancisco,http://images.amazon.com/images/P/0062503952.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0062503952.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0062503952.01.LZZZZZZZ.jpg
