User-ID,Location,Age
246668,"porto, n/a, portugal",22.0
112813,"atlanta, georgia, usa",54.0
117302,"tallahassee, florida, usa",34.0
272316,"talavera de la reina, toledo, spain",19.0
237933,"hopewell, virginia, usa",39.0
170596,"kyle, texas, usa",28.0
194537,"sanming, fujian, china",
204506,"kingston, ontario, canada",24.0
209656,"coupeville, washington, usa",61.0
79088,"santa cruz do rio pardo, são paulo, brazil",19.0
70235,"arlington, virginia, usa",51.0
157494,"strzelno, n/a, poland",
159062,"keene, new hampshire, usa",
19291,"owen sound, ontario, canada",
178381,"westland, michigan, usa",
195085,"saint john, new brunswick, canada",27.0
206446,"petaluma, california, usa",
278259,"chesapeake, virginia, usa",37.0
177113,"north augusta, south carolina, usa",47.0
255645,"avondale, pennsylvania, usa",
